data,load,GRU,lstm,RF,LM,GB,SVM,SVR,Target2
2013/1/4 9:00,51439.57,42729.23438,42858.01172,46718.49597,49808.58801,46451.39602,50151.67732,39326.1499,43356.95
2013/1/4 10:00,53111.24,45068.20703,45090.84375,47876.5649,51124.77728,47412.81977,51537.38943,41343.90349,45901.31
2013/1/4 11:00,54742.87,47377.75781,47433.37891,48932.17107,52399.40198,48757.48292,52850.40233,43607.6868,47660.34
2013/1/4 12:00,54556.32,47638.88672,47738.90234,49082.47405,52173.4766,48754.94491,52900.35691,44271.24789,47853.26
2013/1/4 13:00,52582.53,46850.26563,46867.61328,48072.49568,50405.55935,47146.01422,51327.30917,43114.48567,46857.72
2013/1/4 14:00,50860.81,45760.98828,45843.96484,47462.05899,48449.10268,45971.85909,49809.30313,41351.57983,45753.89
2013/1/4 15:00,50224.72,45242.07031,45324.94531,46549.53778,47605.88594,45885.65571,49159.09286,40659.46551,45700.2
2013/1/4 16:00,50753.43,46096.21875,46146.44531,46867.62768,47774.46896,46012.0718,49719.14655,41363.46493,47115.25
2013/1/4 17:00,52365.95,49879.64453,49390.64453,47631.1196,49091.90887,47272.68246,51256.00461,43659.35416,49956.27
2013/1/4 18:00,51815.4,52350.35156,51723.55859,47746.53004,48982.8874,46854.00611,50931.56767,43947.12804,50343.93
2013/1/4 19:00,49763.35,49174.64453,49312.86328,47083.51244,47241.21247,46171.53704,49151.41244,42188.19138,48721.4
2013/1/4 20:00,46235.28,47684.32422,47003.10938,44446.75346,44122.23186,43927.38663,46159.67834,38720.07396,45759.35
2013/1/4 21:00,44038.54,44876.64063,44957.88672,43618.13618,41967.02694,41945.4039,44339.92847,36218.99549,43892.03
2013/1/4 22:00,42616.21,43911.80078,44280.41016,42655.39329,40675.2557,40630.47145,43426.51647,35047.66622,43544.41
2013/1/4 23:00,39399.36,40047.32422,40667.47266,39941.55681,38132.4367,38240.08252,41435.15724,33094.41442,40493.18
2013/1/5 0:00,35996.87,37635.96094,37960.37891,35843.49981,32276.31852,35435.89318,35385.31211,28771.67656,36480.08
2013/1/5 1:00,34023.99,34502.09375,34701.64844,34106.40698,30575.78161,33519.63478,33624.32376,27403.97088,33700.94
2013/1/5 2:00,33003.88,32532.01563,32398.99805,33357.77566,29998.68093,32780.45247,33115.10307,27049.42944,32707.22
2013/1/5 3:00,33145.84,32499.93945,32499.44336,33343.49079,30537.23787,33178.85168,33968.85126,28414.8557,32739.98
2013/1/5 4:00,33749.17,33015.41406,33217.875,33717.11586,31548.55521,33271.41553,35611.50088,30886.02453,32828.25
2013/1/5 5:00,33913.88,32885.94922,33032.60156,34325.45642,32449.67479,34366.77919,37294.34897,33224.3659,32122.09
2013/1/5 6:00,34228.74,32064.0332,32463.11328,35162.25592,33733.16589,35587.04534,38998.44346,35115.71269,31253.04
2013/1/5 7:00,36836.8,32267.60156,32605.33203,34360.2439,36420.40312,37898.26286,40790.81933,37732.95862,32466.07
2013/1/5 8:00,40234.74,34774.61328,35035.65625,36648.56862,39661.04743,38740.31228,42579.39189,40037.74423,35052.29
2013/1/5 9:00,43356.95,37529.32422,37458.55078,39213.06935,42461.7947,40801.58539,44599.91503,42511.2576,37957.01
2013/1/5 10:00,45901.31,40339.3125,40067.26172,41303.40477,44797.46668,43654.4687,46494.59464,44630.54346,40462.24
2013/1/5 11:00,47660.34,42908,42542.63281,43730.92593,46455.88664,45632.65072,47896.77394,46386.62782,43238.65
2013/1/5 12:00,47853.26,43008.45703,43440.45313,44691.0739,46626.68306,46089.39307,48607.22812,46543.80173,43540.77
2013/1/5 13:00,46857.72,42152.875,42020.40625,43905.85391,45599.65331,44765.43657,48555.72243,45028.0092,41923.7
2013/1/5 14:00,45753.89,40630.01563,40348.35156,42842.1173,44343.06833,43278.60194,48004.49675,43616.64739,40796.21
2013/1/5 15:00,45700.2,40146.34766,40029.60938,42459.31457,44179.88557,42906.13258,48000.75548,43297.60595,40879.93
2013/1/5 16:00,47115.25,41462.98438,41580.37109,43673.99127,45265.76654,43678.10298,48965.86639,44711.64536,42987.49
2013/1/5 17:00,49956.27,46470.03906,45901.90625,46993.73649,47383.84762,46319.14215,51085.5982,47771.35734,46199.79
2013/1/5 18:00,50343.93,48599.21094,48063.69141,47673.86472,47998.34253,47720.83478,52014.27849,48109.76137,47369.14
2013/1/5 19:00,48721.4,46357.46484,46360.86719,47069.41037,46632.34221,46948.67576,50930.93689,46311.18909,46360.86
2013/1/5 20:00,45759.35,45174.99219,44688.75,45045.80768,44129.2869,45231.93294,48719.13404,43144.36461,44245.11
2013/1/5 21:00,43892.03,43570.60156,43596.70313,43974.87276,42301.88861,43608.76143,47008.98975,41055.17628,43265.95
2013/1/5 22:00,43544.41,43724.34766,43771.00391,43579.20658,41924.84126,43032.40091,46620.68871,40595.70009,43357.86
2013/1/5 23:00,40493.18,39939.89453,40399.22266,41016.03658,39838.76279,40530.34425,44477.51759,37979.84089,39935.35
2013/1/6 0:00,36480.08,37036.10938,36901.50391,37399.54774,35031.78252,35897.12516,38096.84766,31455.78966,36747.62
2013/1/6 1:00,33700.94,35086.625,34966.22656,35511.79025,32810.13698,34675.69317,35357.03818,28252.68342,34875.75
2013/1/6 2:00,32707.22,34214.28906,33883,34252.11456,32208.3615,34316.89326,34857.18624,27784.07608,34503.56
2013/1/6 3:00,32739.98,35163.63281,35066.68359,33980.89725,32682.41127,34252.60977,36150.91831,29896.86259,35080.5
2013/1/6 4:00,32828.25,36768.48047,36578.75781,34592.65962,33287.32896,36389.672,37967.53786,33120.73048,36971.48
2013/1/6 5:00,32122.09,41180.5,41150.85156,36915.75423,33244.00566,38428.05323,39205.67747,35908.37845,40765.27
2013/1/6 6:00,31253.04,47563.66016,48068.59766,42565.6411,33091.41035,45268.161,40516.08882,39335.84863,48270.95
2013/1/6 7:00,32466.07,54031.05469,53726.82031,46930.18077,34480.99567,50264.2933,43717.28035,45904.03506,55440.84
2013/1/6 8:00,35052.29,58706.74219,58722.93359,50267.97685,37191.85202,52258.62157,47739.07449,51778.55625,57848.7
2013/1/6 9:00,37957.01,58322.14063,58224.5,51456.74453,40104.48338,56221.61553,50894.80802,55112.62444,58363.76
2013/1/6 10:00,40462.24,58803.89844,58843.48438,53088.76674,42665.49597,56823.85749,53139.12709,56897.13203,59040.8
2013/1/6 11:00,43238.65,60113.11719,60015.42188,54872.19354,44939.15234,57643.79976,54470.34979,58777.51912,60090.03
2013/1/6 12:00,43540.77,60062.99609,60139.59375,54970.60852,45490.46105,58545.39199,55078.7351,58122.34855,59787.91
2013/1/6 13:00,41923.7,59239.49609,59191.36328,54070.42328,44398.60415,57857.91703,54601.5451,55903.5896,59530.38
2013/1/6 14:00,40796.21,58628.66406,58645.04297,52847.76841,43303.27423,56450.04616,53654.64734,54554.23655,58641.31
2013/1/6 15:00,40879.93,57668.62109,57797.58594,52797.79161,43435.69205,55677.13887,53624.0569,54478.12997,58161.74
2013/1/6 16:00,42987.49,57798.62109,57490.16406,54606.41388,45217.55376,57825.35186,54532.22462,56096.74089,58736.86
2013/1/6 17:00,46199.79,61194.69141,60334.83984,56792.07574,48095.52293,59833.49676,55984.23456,58862.01683,60878.09
2013/1/6 18:00,47369.14,61091.48828,61900.49219,56742.51947,49502.30348,61140.02884,57015.45361,58901.77215,60626.93
2013/1/6 19:00,46360.86,58983.89844,58965.78906,56482.8812,48807.22618,59271.17066,56284.57637,55932.5988,58918.86
2013/1/6 20:00,44245.11,55633.35938,55780.17969,53608.89949,46897.46745,56268.40391,54222.36253,51486.55456,55319.81
2013/1/6 21:00,43265.95,53261.41406,52660.64844,51239.36302,45880.46636,53229.34895,52662.13561,48695.29909,52346.84
2013/1/6 22:00,43357.86,51223.40234,50035.82422,49489.97397,46080.17557,50951.41765,52129.33429,47502.75453,49891.66
2013/1/6 23:00,39935.35,45637.42188,45539.48438,45423.61147,43700.09642,45576.95295,48916.35694,42766.18025,45310.72
2013/1/7 0:00,36747.62,42077.16016,41803.67188,40405.08826,38697.6112,42542.96021,40901.13574,39489.41381,41913.69
2013/1/7 1:00,34875.75,39800.40234,39701.05469,38807.16375,37048.55622,40398.7681,38908.24359,37426.93311,39918.06
2013/1/7 2:00,34503.56,38860.53906,38588.32813,38272.76645,36921.73915,39842.03875,38618.95113,37684.41003,39330.2
2013/1/7 3:00,35080.5,39388.70313,39335.45313,38153.68264,37812.70153,40672.59295,39365.63284,39077.67264,39858.91
2013/1/7 4:00,36971.48,40971.88281,40842.98438,39424.47974,39576.32911,41810.801,40969.97828,41112.75867,41000.96
2013/1/7 5:00,40765.27,43572.87891,43691.35938,42340.21984,42833.30469,44431.73697,43345.15836,42729.77182,43517.11
2013/1/7 6:00,48270.95,49629.51563,49698.16016,49768.09686,49222.83172,50597.20652,47789.19281,45632.69747,50301.16
2013/1/7 7:00,55440.84,55530.73828,55577.36719,55660.43827,55577.19832,56664.60019,53366.1209,50672.8539,56684.81
2013/1/7 8:00,57848.7,58802.20313,58988.91797,57862.01603,58054.44523,58404.85801,56177.16167,53648.26299,58224.53
2013/1/7 9:00,58363.76,57718.11719,57771.12891,58281.0772,58376.23871,59002.93465,57364.59246,55755.55701,58024.33
2013/1/7 10:00,59040.8,58440.06641,58447.72266,59119.03088,58752.13779,59542.88817,58186.2112,57305.22951,59001.67
2013/1/7 11:00,60090.03,59815.96875,59960.59375,59983.06354,59547.83038,60507.03382,59104.24017,58885.60407,60642.4
2013/1/7 12:00,59787.91,60018.22656,60352.35938,59517.66983,59030.89688,60082.48518,58811.34914,58820.49913,60312.07
2013/1/7 13:00,59530.38,59494.49609,59548.88281,59210.35484,58245.2196,59476.69025,58226.49383,57731.89604,59990.84
2013/1/7 14:00,58641.31,59045.63672,59075.14844,58394.64843,57305.78815,58166.96844,57244.47695,56519.54266,59183.67
2013/1/7 15:00,58161.74,58356.07422,58263.20313,57851.66973,56681.85849,57896.07321,56857.5666,56398.45219,58812.39
2013/1/7 16:00,58736.86,58513.25391,58209.03125,58153.04879,56935.42412,58214.08543,57651.87317,58028.66333,58973.46
2013/1/7 17:00,60878.09,61337.90625,60748.29297,60588.60131,58558.35108,59872.6302,59466.34825,60427.0753,61087.39
2013/1/7 18:00,60626.93,62056.19922,62285.83984,60379.82223,58780.34121,59862.80089,59116.1519,59931.85757,60839.87
2013/1/7 19:00,58918.86,59190.91406,59517.07422,58336.187,57506.93885,57927.83659,57626.99052,57786.78298,59062.64
2013/1/7 20:00,55319.81,56082.43359,56205.46484,55678.45091,54599.91933,54866.1634,54729.72797,54548.44669,55655.6
2013/1/7 21:00,52346.84,53007.33203,53476.28516,52939.61157,51743.72635,52561.91399,52440.52143,52555.67577,52756.34
2013/1/7 22:00,49891.66,51184.15625,51296.55469,50029.67485,49441.56607,50143.33406,50707.35875,50920.69552,50560.51
